Tag,RelatedQuestions
pokemon behaviour,"[5, 18, 30, 46, 47, 48, 50, 56, 65, 117, 189, 190, 256, 257, 264, 268, 269, 276, 278, 279, 298, 300, 328, 330, 331, 333, 338, 340, 341, 364, 366, 381, 400, 401, 404, 411, 413, 414, 437, 440, 487, 488, 529, 530, 572, 588, 599, 600, 602, 648, 654, 672, 697, 698, 723, 725, 747, 754, 755, 758, 766, 784, 786, 789, 793, 805, 816, 817, 853, 859, 862, 881, 884, 887, 888, 889, 890, 893, 898, 906, 907, 934, 972, 979, 980, 996, 1001, 1002, 1003, 1004, 1027, 1029, 1040, 1041, 1043, 1051, 1078, 1089, 1108, 1114, 1124, 1125, 1128, 1130, 1131, 1132, 1133, 1173, 1175]"
pokemon berry,"[365, 600, 861]"
pokemon biology,"[8, 14, 42, 72, 80, 116, 117, 118, 119, 121, 126, 128, 129, 130, 131, 134, 136, 137, 138, 139, 141, 146, 159, 164, 171, 177, 179, 198, 221, 237, 256, 257, 259, 260, 262, 268, 269, 276, 278, 285, 286, 287, 289, 290, 291, 292, 294, 298, 299, 300, 308, 317, 330, 332, 334, 335, 336, 337, 338, 339, 340, 341, 348, 356, 364, 366, 371, 372, 396, 404, 407, 427, 440, 443, 456, 465, 477, 571, 573, 574, 576, 586, 587, 617, 631, 633, 634, 648, 649, 650, 655, 656, 664, 668, 672, 673, 681, 725, 735, 746, 747, 753, 758, 760, 761, 762, 763, 787, 791, 804, 830, 831, 837, 853, 857, 870, 871, 885, 892, 894, 895, 896, 897, 898, 912, 922, 940, 975, 988, 1000, 1039, 1043, 1053, 1079, 1085, 1090, 1092, 1094, 1096, 1098, 1099, 1104, 1110, 1115, 1116, 1119, 1120, 1126, 1135, 1136, 1161, 1167, 1174, 1175]"
pokemon breeder,"[833, 839, 1118]"
pokemon center,"[50, 51]"
pokemon fossil,[1132]
pokemon gym,[59]
pokemon moves,"[58, 68, 83, 103, 104, 107, 108, 118, 139, 202, 238, 250, 251, 252, 253, 254, 255, 258, 262, 292, 308, 311, 354, 356, 383, 393, 444, 445, 474, 501, 502, 504, 505, 516, 531, 533, 587, 622, 641, 669, 670, 677, 681, 715, 717, 718, 722, 724, 739, 740, 744, 766, 768, 780, 781, 797, 825, 842, 868, 869, 882, 892, 905, 923, 924, 925, 926, 936, 944, 945, 950, 991, 992, 1007, 1044, 1067, 1090, 1110, 1121, 1123, 1129, 1174, 1182]"
pokemon starter,"[153, 237, 773, 830, 831, 832, 833, 835, 836, 837, 838, 839, 951, 1118]"
pokemon tower,[485]
pokemon trainer,"[32, 53, 54, 59, 60, 74, 75, 173, 174, 224, 227, 235, 281, 290, 305, 327, 331, 352, 376, 439, 449, 461, 462, 503, 511, 513, 515, 536, 545, 577, 613, 678, 689, 690, 700, 711, 830, 832, 835, 836, 838, 842, 913, 914, 918, 943, 948, 949, 951, 952, 953, 955, 961, 972, 997, 998, 1040, 1047, 1048, 1086, 1088, 1118, 1153, 1154]"
pokemon world,[178]
pokenav,[84]
pollution,[95]
ponyta,[605]
population,"[199, 237]"
porygon,"[272, 273, 274, 275, 429, 956, 1045]"
precipice blades,[258]
primeape,[992]
princess,"[226, 698, 795, 1168]"
professor birch,[439]
professor elm,[439]
professor oak,"[29, 60, 153, 418, 434, 436, 439, 492, 511, 515, 540, 642, 676, 800, 801, 802, 843, 854, 858, 891, 970, 971, 981, 985, 1078, 1137, 1182]"
professor rowan,[439]
protean,[333]
protect,[393]
proton,[17]
pryce,"[315, 362]"
pseudo legendary,"[90, 226, 280, 314, 472, 506, 623, 635, 879, 880, 1048, 1113, 1125, 1155]"
psyblade,[570]
psychic,[13]
psychic sense,"[621, 988, 989, 1174]"
psychic type,"[42, 52, 73, 74, 75, 93, 98, 99, 103, 104, 106, 108, 136, 139, 191, 216, 239, 240, 241, 242, 272, 278, 279, 309, 310, 311, 312, 315, 319, 343, 344, 346, 355, 358, 382, 401, 407, 413, 414, 415, 423, 425, 426, 443, 445, 448, 471, 504, 516, 570, 572, 575, 607, 612, 621, 624, 649, 677, 692, 733, 739, 779, 780, 781, 789, 816, 818, 943, 988, 989, 996, 1020, 1021, 1022, 1023, 1025, 1065, 1098, 1108, 1109, 1112, 1113, 1114, 1130, 1131, 1161, 1173]"
quiver dance,[1044]
raichu,[862]
raikou,"[384, 528, 529, 530, 883]"
rain dance,[1007]
ralts,[818]
rampage,"[287, 348, 383, 390, 395, 804]"
ranger,"[115, 183, 321, 578, 690, 700]"
ranger union,"[87, 490, 491, 934, 935, 943, 987, 1050, 1051, 1054]"
rapidash,"[605, 943]"
rare candy,"[259, 260]"
raticate,"[153, 154, 766]"
rayquaza,"[48, 525, 647, 648, 980]"
region,"[87, 95, 96, 97, 123, 125, 199, 213, 324, 325, 374, 375, 418, 523, 756, 764, 776, 859, 966, 967, 968, 986, 1124, 1165]"
relicanth,[322]
reshiram,"[873, 874, 974, 1017]"
rhydon,"[184, 244, 353, 863, 907, 912, 1008]"
rhyhorn,"[4, 298, 1008]"
rhyperior,[912]
riolu,"[228, 1122]"
rock tomb,[393]
rock type,"[146, 330, 357, 373, 787, 822]"
rocket war,"[17, 194, 196]"
rose,[1032]
roserade,[1046]
rota,"[66, 132, 590, 591, 639, 640, 714, 937]"
rotom,"[131, 243]"
rui,[222]
ruins of alph,"[97, 1031]"
rustboro city,"[95, 265, 643]"
ryoto,"[651, 671, 1030, 1157]"
ryujin,[1097]
ryuujin,"[550, 588]"
s.s. anne,[616]
sabrina,"[13, 105, 223, 242, 499, 544, 658, 818, 1036]"
safari zone,[317]
saffron city,"[544, 627, 739, 907, 990, 1109]"
saikaku,[1030]
sakaki,[468]
salamence,"[90, 147, 226, 244, 781, 915, 992, 1010]"
saph,"[1009, 1011, 1168]"
scizor,[356]
scolipede,"[433, 733]"
scry project,"[418, 484]"
scyther,"[356, 357]"
seadra,"[9, 852]"
secession of 827,[546]
seek trainer,"[91, 954, 1160]"
seeker,"[534, 631]"
self destruct,[292]
sensational sisters,"[39, 772]"
sevii islands,"[97, 891]"
seviper,[221]
shadow ball,[739]
shadow claw,[1056]
shadow pokemon,"[306, 1065]"
shamouti,"[76, 166, 169, 514, 566, 567, 807, 878, 1146, 1172]"
sharpedo,"[770, 771]"
shaymin,[853]
shedinja,"[268, 269]"
shelgon,[1168]
shielbert,[109]
shinobu,"[353, 473, 549, 886, 1101]"
shiny pokemon,"[371, 372]"
shuppet,[131]
sidney,"[67, 659, 742, 743, 768, 770, 906, 1084, 1174]"
silph corporation,[1090]
silver,[829]
silver conference,"[493, 494]"
silver town,[6]
sing,[238]
sinnoh,"[10, 22, 24, 87, 92, 95, 97, 122, 168, 213, 244, 314, 324, 389, 476, 491, 541, 581, 652, 659, 727, 728, 732, 777, 778, 820, 845, 858, 859, 930, 933, 943, 986, 998, 1006, 1050, 1054, 1060, 1063, 1150, 1165, 1185]"
sinnoh underground,[820]
skarmory,"[235, 236]"
skill swap,[722]
slaking,[280]
slowking,[76]
slowpoke,[365]
slugma,"[479, 1153]"
smoochum,[917]
snag machine,"[919, 1117]"
sneasel,"[383, 602, 632, 721, 779, 905, 1027, 1135, 1136]"
snorlax,"[153, 154, 390]"
solar beam,"[68, 531, 924]"
solgaleo,[1062]
sordward,[109]
southern continent,"[22, 23, 24, 100, 149, 293, 303, 375, 418, 646, 967]"
space,[48]
spectre corps,"[115, 380, 496, 503]"
spencer,[136]
spheres,"[480, 514, 1038, 1146]"
spiritomb,"[10, 11, 126, 243, 403, 405, 624, 656, 746, 762, 1046, 1168]"
squirtle,[926]
st. anne,[515]
stalwart,[732]
steel type,"[291, 330, 357, 404, 654, 787]"
steelix,"[654, 1089, 1167]"
steven,"[34, 67, 103, 112, 197, 214, 220, 242, 271, 272, 361, 402, 403, 410, 418, 438, 446, 530, 563, 624, 661, 701, 736, 737, 768, 802, 864, 995, 1095, 1098, 1137, 1168, 1170, 1178]"
stone edge,[502]
stone family,"[84, 265, 271, 701, 805, 859, 1170]"
strength,[49]
suicune,"[127, 216, 217, 219, 384, 385, 386, 527, 528, 529, 530, 807, 883, 895, 1177]"
sunny day,[68]
super speed,[201]
surge,"[111, 194, 486, 538, 683, 708]"
sylveon,"[134, 655, 1042]"
taimu,"[353, 507, 546, 548, 549, 550, 552, 580, 589, 591, 627, 651, 671, 767, 891, 1082, 1097, 1100, 1101, 1103, 1105, 1108, 1150]"
taiyo,"[441, 1157]"
tangela,[534]
tangrowth,"[336, 337, 350, 354, 398, 420, 534, 535, 631, 634, 673, 864, 889, 890, 996, 1116]"
tani,"[339, 597, 712, 713, 1038]"
tao trio,[522]
tate,[1084]
tauros,"[29, 353, 1101]"
team aqua,"[100, 101, 367, 368, 370]"
team flare,[410]
team magma,"[100, 101, 367, 368, 370, 453]"
team plasma,"[629, 1061]"
team rocket,"[16, 17, 56, 111, 292, 321, 365, 382, 453, 454, 455, 466, 467, 470, 477, 510, 512, 530, 629, 694, 799, 864, 1117, 1139, 1162]"
technology,"[12, 84, 87, 88, 95, 164, 179, 183, 200, 248, 250, 264, 265, 266, 274, 275, 277, 316, 318, 320, 339, 368, 448, 454, 472, 473, 507, 549, 589, 599, 608, 628, 629, 647, 648, 669, 692, 701, 702, 703, 780, 789, 816, 817, 860, 861, 891, 919, 922, 925, 934, 936, 943, 944, 947, 956, 957, 958, 967, 968, 981, 982, 983, 984, 985, 999, 1082, 1087, 1090, 1093, 1117, 1165, 1182]"
teleport,"[40, 41, 74, 87, 98, 103, 241, 242, 318, 344, 414, 435, 444, 445, 533, 677, 681, 687, 740, 781, 869, 882, 905, 936, 943]"
tentacruel,[221]
threat level,"[32, 33, 34, 35]"
thunderbolt,[1129]
thundurus,[667]
tier list,[71]
tm,"[137, 139, 200, 250, 368, 549, 589, 669, 701, 780, 891, 925, 936, 1082, 1090]"
tobias,"[165, 167, 168, 827, 1048]"
togekiss,[1046]
torkoal,[252]
torrent,"[44, 45, 46, 49, 107, 121, 127, 129, 172, 308, 362, 398, 400, 420, 444, 464, 534, 535, 630, 631, 721, 757, 758, 785, 791, 792, 793, 841, 852, 996, 1027]"
toxicroak,[519]
tree of beginning,"[640, 714]"
tsuki,"[441, 1157]"
tyranitar,"[5, 406, 870, 1125]"
u-turn,[641]
ultra beasts,"[122, 938, 1062]"
ultra space,[1062]
ultra wormholes,[1062]
umbreon,"[257, 697, 715, 894]"
unova,"[91, 92, 95, 161, 199, 204, 247, 324, 325, 326, 387, 389, 410, 412, 459, 477, 490, 652, 859, 934, 946, 954, 967, 968, 1050, 1051, 1054, 1060, 1061, 1063, 1065, 1066, 1080, 1106, 1112, 1160, 1162]"
unown,"[92, 93, 97, 136, 359, 369, 423, 471, 521, 675, 939, 1031, 1065]"
uther,"[153, 154, 469, 778, 822, 1081]"
vaporeon,"[586, 587, 895]"
venusaur,"[29, 68]"
vermillion city,"[388, 627, 720, 990]"
vertress,"[834, 1160]"
vibrava,"[1010, 1168]"
victini,[688]
violet city,[1157]
viridian city,"[470, 492, 627, 952, 1056]"
viridian gym,"[25, 26, 1156]"
volcarona,[90]
volkner,[658]
volt tackle,[118]
volumo empire,"[324, 510]"
vulpix,[1104]
wallace,"[197, 446, 810, 914, 1107, 1178]"
wataru clan,"[69, 182, 399, 468, 580, 592, 611, 671, 706, 707, 915, 916, 933, 986, 1030, 1157, 1171, 1172]"
water stone,[863]
water type,"[121, 573, 574, 608, 991, 992]"
wattson,"[809, 811]"
weather trio,"[253, 258, 595]"
weavile,"[632, 1004]"
weeping era,[728]
weezing,[221]
wes,"[222, 409, 866, 1012, 1038]"
western continent,"[466, 859]"
wild pokemon,"[7, 75, 87, 101, 115, 183, 267, 277, 293, 295, 296, 297, 321, 330, 356, 358, 364, 365, 366, 367, 400, 572, 576, 599, 600, 601, 602, 608, 628, 646, 648, 687, 690, 789, 816, 935, 943, 966, 1040, 1041, 1051]"
will,"[26, 35, 71, 114, 419, 478, 659, 716, 750, 814, 818, 927, 960, 1156, 1186]"
will-o-wisps,"[77, 825]"
winona,[67]
wonder guard,"[268, 269, 333]"
world map,"[375, 523]"
xd001,"[378, 865, 866]"
xerneas,"[562, 619, 974]"
yari,[399]
yveltal,"[619, 974]"
zapdos,"[64, 65, 480, 557, 595, 597, 667, 712, 713, 847, 877, 878, 883, 1055, 1146]"
zekrom,"[667, 873, 874, 877, 974, 1017]"
zoroark,"[612, 743, 768, 906, 1174, 1175]"
zubat,[534]
zygarde,"[973, 974]"
