Num,Question,RelatedTags,Answer
324,"If you rank how old each league is, does it follow the order of the games?","['Hoenn', 'Indigo', 'League', 'Region', 'Sinnoh', 'Unova', 'Volumo Empire']","Not really! I did have Indigo as the first as a reference to the original gens, but Hoenn is actually one of the newest Leagues after existing as separate city-states since the fall of the Volumo Empire a little over a thousand years ago. I based them a little on Italy. Sinnoh has ancient civilization, but also a fairly old League. Unova’s League is relatively new, while Kalos incorporated the League model after the Last War into their traditional aristocracy."
325,What regions would you say have the rockiest relationship with Kanto besides Orre?,"['Alder', 'Champion', 'Indigo', 'Kanto', 'Last War', 'League', 'Orre', 'Region', 'Unova']","That’s a hard one. Most major powers are pretty warm with the new generation of Champions that came in the last decade or so - most are highly idealistic, having been born during or shortly after the Last War and raised on the stories of its horrors. There’s still some bitterness between older generations of Unovans and Kanto, but that’s mostly overshadowed due to Alder’s new League essentially purging the former government from its ranks."
326,"There is also quite a bit of tension between Hoenn and Unova still, right?","['Alder', 'Drake', 'Hoenn', 'Kanto', 'League', 'National League', 'Unova']","Similar situation to Kanto [see question 325]. Hoenn suffered under Unova, but during the Unovan Restoration they built closer ties. Drake was hard on them, but fair to the new government and wise enough to see the necessity of building war torn Unova up instead of tearing it further down as some of his command desired.

One thing that urged Alder and the new League of Unova a lot of goodwill is that they rose up in a coup after staging a rebellion for much of the Last War, punching holes in the Unovan defenses and seizing key locations and leaders of the fascist government. They saved tens of thousands of lives on both sides, which made the National League much happier to negotiate with them on warmer terms."
327,"Assuming they follow the same lives, what happened to Ash’s pokemon in the original anime that were abused/abandoned by their original trainers? Like Charmander, for example.","['League', 'Pokemon Trainer', 'Meta']","For the sake of avoiding grimdark I’ll say the existence of a political, competent Pokémon League got the ones who needed help the help they needed, while the others live happily."
328,On Ash’s goal for Nidoking’s growth.,"['Ash', 'Nidoking', 'Pokemon Behaviour']","Yep, Ash desperately wants Nidoking to have his own identity. Pretty much the entire team invests a great deal of their identity into Ash - and he does the same for them - but Nidoking basically grew into an extension of Ash out of sheer loyalty."
329,On the Black Broth.,['Black Broth'],"Yep, I was inspired by the Spartan black soup. No exact recipe survived, but the main ingredients were pigs’ legs, blood, salt and vinegar. Obviously they aren’t using Pokémon legs for the broth (anymore), but I imagine protein from the artificial meat plants and a disgusting amount of nutrients are packed into it, plus a few secret ingredients for fun. I can’t spill all the secrets, but that’s the base!

The black broth is basically half valuable nutrition in the field and half hazing. It’s an acquired taste, but there are additions some trainers can use that make it tolerable."
330,On Metagross’ diet.,"['Metagross', 'Pokemon Behaviour', 'Pokemon Biology', 'Rock type', 'Steel type', 'Wild Pokemon']","Yep, I always figured that Metagross were ultimate omnivores. Probably a large amount of their diet comes from rock and steel-types, but they eat basically any living thing they can find in the wild."
331,What would you say is the most dangerous Pokemon? Not strongest but just so insanely dangerous to train.,"['Chandelure', 'Ghost type', 'Pokemon Behaviour', 'Pokemon Trainer']","Honestly, Chandelure (and ghosts in general) are way up on that list.

Just because they can be so unpredictable and their abilities don’t mesh well with human squishiness."
332,What does being a ghost type mean in Traveler?,"['Ghost type', 'Pokemon Biology']","Hmm, I’d say the closest I can get to a real definition (without too many spoilers) is an extradimensional entity that’s slipped into the material world. They’re eroded by existing in the Pokémon World, and require some corporeal form to possess and manipulate to continue existing."
333,"How do abilities like No Guard, Contrary, Protean, Wonderguard, etc. carry over to Traveler?","['Contrary', 'No Guard', 'Protean', 'Wonder Guard', 'Pokemon Behaviour']","Pretty much as [redacted] described [see question 268]! Protean is something I have plans to address, but haven’t settled on a specific explanation. Contrary would probably be a more psychological thing - say a Pokémon tried to intimidate a Pokémon, but it would just infuriate the other Pokémon and make it more aggressive instead. No Guard is more psychological!"
334,Can some ghosts like Decidueye and Jellicent have eggs?,"['Decidueye', 'Ghost type', 'Jellicent', 'Pokemon Biology']","Yep, some ghosts can! It mostly depends on the species."
335,What's the current listed height for Bruiser? I remember Bruno's Machamp being something like 6' and being referred to as massive for the species.,"['Bruiser', 'Bruno', 'Machamp', 'Pokemon Biology']","Gonna be honest, Bruno’s Machamp’s size will probably come down to being early installment weirdness! I’ve trended towards Pokémon being significantly larger than the PokeDex lists in most cases. Can’t remember if I’ve given an actual height for Bruiser in the past, but I’d say he’s somewhere around six feet? Bruno’s will probably suspiciously grow the next time he appears...although I do like the idea of a strangely short Machamp that’s just an absolute unit."
336,How many vines does Tangrowth have roughly?,"['Pokemon Biology', 'Tangrowth']","I’d say he has several hundred, but not all are suitable for combat. Many are thinner and designed for more delicate work, but he has dozens of combat ready vines that can extend to long ranges."
337,"If he[Tangrowth] had all of his combat one’s outstretched, would we see smaller vines protecting the rest of him? [see question 336]","['Pokemon Biology', 'Tangrowth']",Yep! Sort of like an undercoat of vines.  They’re responsible for a lot of his shock absorption.
338,How do friendship evolution’s work in Traveler?,"['Pokemon Behaviour', 'Pokemon Biology', 'Evolution']","I can’t find the quote I gave [see question 117], but basically it tends to affect highly social Pokémon. When they have high positive feelings - which in the wild correlated to feelings of safety or status - they would evolve and assume leadership positions."
339,"If Ash were to channel Lightning through the Feather, would he be able to stimulate the evolution of any electric types?","['Concept', 'Electric type', 'Electrizer', 'Evolution', 'Feather', 'Pokemon Biology', 'Technology', 'Tani']","Yep, he could. It would have to be directed into the electric-type (not just in the area) but would be able to stimulate evolution. It would be a struggle to mimic the intensity of an Electrizer, but would be feasible if he was careful.

Theoretically he can channel just as much power as Tani did in Recollections, but he limits himself (and for good reason)."
340,Is there a distinction between vertebrates and invertebrates in the Travelerverse? I meant neurologically.,"['Aerodactyl', 'Pokemon Behaviour', 'Pokemon Biology']","I’m rolling with the ‘every Pokémon is sentient[sapient]’ category for Traveler purposes. It makes the wild and Pokémon training an ethical nightmare when looked at too closely, but it rolls with the suspension of disbelief. Some Pokémon have different thought patterns and might not have the same attachment and ‘human’ emotions that many Pokémon do, but can still think and operate at a much higher level than any animal in our world. Even the dumbest Pokémon tend to be very intelligent - I’d rank them at worst as dolphin or elephant levels of intelligence, but with psychic powers making inter species communication possible I think there’s a much higher awareness and value placed on them.

I figure that intelligence is a self-selecting for trait in Pokémon, so it’s naturally risen over the years as a form of competition. Aerodactyl is still very intelligent, but her mind operates in a way more similar to, say Blue from Jurassic Park World than the happy go lucky Pokémon we know. She’s more controlled, but still naturally more savage."
341,"I am a little surprised to not see more fire pokemon in Ash's team since he is in possession of the feather, I kind of thought they might get attracted to it a bit.","['Absol', 'Ash', 'Hoenn', 'Pokemon Behaviour', 'Pokemon Biology', 'Feather']","Honesty, Ash is a beacon for a lot of Pokémon at this point bht[but] is so mobile that they have a hard time keeping up. Pay attention to the references to Absol migratory movements while he was in Hoenn..."
342,On Ash’s growth.,['Ash'],"Yep, honestly Ash is in the sweet spot where he has the motivation, is insanely dedicated to training at all hours, and found his way into the connections to maximize his talent. Not even mentioning that he’s pretty much addicted to battling lol. Oh, and the fact that his team freaking loves him. That helps a lot too."
343,What sort of psychic niche does Grumpig fit into? Is it more mental technique oriented or physical manifestation focused?,"['Grumpig', 'Pokemon Battle', 'Psychic type']","It strikes a bit of a balance. Grumpig excels at defensive psychic abilities and limited physical manipulation, but also has a great deal of talent in striking mentally at opponents to daze or disorient them."
344,How is its [Grumpig’s] teleportation? [see question 343],"['Dazed', 'Grumpig', 'Psychic type', 'Teleport']","Very limited, probably even more so than Dazed. It can move itself short distances but struggles in that aspect...exceptions exist, of course!"
345,"How does the league properly protect their spectators for champion level ghost, dark, and bug special attacks? A shed load of Alakazam?","['Alakazam', 'Bug type', 'Dark type', 'Ghost type', 'Pokemon Battle']",They also have specialized ghosts and dark/types capable of providing security for techniques that Alakazam just aren’t equipped to handle.
346,Why is it that Alakazam have largely been used for barriers so far? being more common and or versatile?,"['Alakazam', 'Pokemon Battle', 'Psychic type']","Mostly they are versatile. They’re also very adept at keeping an eye on combatants thoughts and using that to prepare the defenses accordingly. Even when other psychics are used for additional power and security, Alakazam tend to be at the center of the network."
347,On the fail safes in place during a Pokemon Battle.,['Pokemon Battle'],"There tends to be redundant failsafes, and it’s ridiculously difficult to actually shatter psychic barriers. It’s happened, but there is never only one layer protecting spectators in high-level matches. Bad PR if a bunch of people get burnt by an angry Magmortar."
348,Is Brusier the biggest fucking tank of a Machoke in Traveler verse or what?,"['Bruiser', 'Fighting type', 'Machoke', 'Pokemon Battle', 'Pokemon Biology', 'Rampage']","Yep, it’s even something that’ll be addressed when Ash meets Bruno haha. Rampage is essentially one of the only ways for a Machoke to reasonably increase their physical strength. Most Machoke are so ridiculously strong already that they would never try to increase it for fear of losing control - the way they see it, their strength is already 15/10 so it’s best to focus on other aspects of battling. So as a result Bruiser is one the strongest, most durable Machoke on the freaking planet...but it also ties into his fears of being unable to control that strength."
349,On Ash’s team's natural ability.,"['Ash', 'Infernus', 'Pokemon Battle']","Yep, Infernus is pretty much the only one of the teams that’s a natural monster. The others’ bodies have just adapted to the crazy training and dedication."
350,On Ash’s team's future growth.,"['Ash', 'Hoenn', 'Master Trainer', 'Pokemon Battle', 'Tangrowth']","Oh yeah! We’re going to see some rapid growth when he [Trangrowth] gets to Hoenn and the pace picks up, and Ash will be getting that boost that lets him fight more fairly with Masters. It’ll open up a lot of new opponents for him and I can really have him go wild!"
351,Elf who’s your favorite Pokémon that you wrote?,"['Dazed', 'Infernus', 'Meta']","Hmm, Dazed is the funnest to write in terms of dialogue and interactions \- she has that extra layer through her telepathy.

My favorite to write is probably Infernus though. He’s such a maniac and I kind of wrote him how I felt when I used to wrestle - just that thrill of fighting and willingness to do anything to win."
352,On how Infernus is regarded by other Pokemon Trainers.,"['Infernus', 'Pokemon Battle', 'Pokemon Trainer']",One thing that helps Infernus is that he’s so terrifying to most trainers that EVERYONE is trying to think up counters for him.
353,Do the public even know that the First Champion having a Rhydon is the reason for all the Rhydon symbols? Or has that been lost to time and just taken for granted in the present?,"['Champion', 'Chinatsu', 'Mamoru', 'Ninetales', 'Rhydon', 'Shinobu', 'Taimu', 'Tauros']","They do know that the First’s cornerstone was a Rhydon, and historians are aware he had a Ninetales and Tauros as well.

There was more common iconography of Chinatsu and Shinobu alongside the First and Mamoru in the first few centuries after the unification, but eventually Rhydon overshadowed the others.
Chinatsu prefers to be forgotten as well. Makes her work much easier."
354,Will we find out about what happened to Tangrowth before Ash caught him? And does destiny bond affect Infernus’s passive flames since it’s technically accidental damage?,"['Ash', 'Destiny Bond', 'Infernus', 'Tangrowth', 'Pokemon Battle', 'Pokemon Moves']","Most likely not for Tangrowth, I want some things to stay mysteries! And yes, the feedback from the pain caused by Infernus’ flames would still affect Destiny Bond. Some Destiny Bond users will deliberately injure themselves to hurt their linked opponent."
355,"How does Distortion interact with Aura, if at all?","['Aura', 'Distortion', 'Psychic type']","I won’t go into detail, but I will say that you can look at Aura as positive, psychic powers as neutral, and Distortion as negative and make of that what you will."
356,How (if at all) does the Scyther > Scizor evolution happen in the wild? Or is Scizor only typically found in the hands of trainers/as released Pokemon? Is Pain Split similar to Destiny Bond in Traveler?,"['Destiny Bond', 'Evolution', 'Ghost type', 'Pain Split', 'Pokemon Biology', 'Scizor', 'Scyther', 'Wild Pokemon', 'Pokemon Moves']","So my current theory for Scyther is something along the lines of their evolution taking place once they’ve hit their prime. Their armor slowly begins to harden, and at a certain point when they’ve reached full maturity their body registers higher level of minerals, which provides the impetus for evolution.

And yep, Pain Split is another one of those primarily mental techniques, although ghosts can use it on each other (or other Pokémon with enough training) to absorb their energy for their own use. For the most part it doesn’t actually heal the user, but just tears the opponent down to a similar level of pain. It’s often used by badly injured Pokémon - in the wild, it evolved primarily as a way to frighten off predators who had managed to do quite a bit of damage already.

In general I try to treat trade evolutions as more ‘experience’ evolutions in Traveler."
357,"In that respect then, I imagine Metal Coats are made to quicken up that process[evolution] for trainer owned Scythers and Onix, as well as just generally being useful for Steel and Rock types, I assume? [see question 356]","['Evolution', 'Metal Coat', 'Onix', 'Rock type', 'Scyther', 'Steel type']",Yep! I figure they’re just a way of giving some control to the trainer and Pokémon instead of waiting for nature to take its course.
358,"I wonder how far back the historical record goes? Like we know there are entities like Chinatsu that tell his feats to others, but how much does the average person know about the time?","['Chinatsu', 'Concept', 'Fuchsia City', 'Mamoru', 'Psychic type', 'Wild Pokemon']","There are Pokémon that serve as living repositories of information as well as many who have destroyed vast amounts of information through their inherent power. Mamoru and Chinatsu singlehandedly set Fuchsia’s development back centuries in their rampage, for example. There are several examples of this that will be explored within the story!

But yes, it can be very difficult to retain information through psychics. They (and Pokémon in general) see the world in a very different lens than humanity. They tend to view the world in terms of concepts and roles rather than as individuals...plus, psychics are just plain confusing to communicate with in general. A major advantage of human records is the ease in which they can be reproduced and understood."
359,Has Mewtwo made plans to fight the other legends like Darkrai if it came to it?,"['Darkrai', 'Legendary Pokemon', 'Mew', 'Mewtwo', 'Unown', 'Pokemon Battle']",After Mew’s warning Mewtwo has been very paranoid and is trying to seek others out. Witnessing the Unown and their power shook him badly.
360,Is Ash going to have to participate in the Indigo League again and win it before challenging the Elite 4?,"['Ash', 'Elite Four', 'Indigo', 'League', 'Pokemon Battle']","Nope, as a member of the League Ash will be able to make his own challenge when he’s ready."
361,Will Ash be changing his tactics/strategy now that he battled Karen? Would Steven teachings sink in and Ash know when to use Lance powerhouse techniques properly?,"['Ash', 'Elite Four', 'Karen', 'Lance', 'Pokemon Battle', 'Steven']",Yep! Ash will be adapting due to his loss.
362,"Have you ever been afraid that you've made Ash's team a bit too powerful? If so, how did you remedy this?","['Ash', 'Infernus', 'Pryce', 'Torrent', 'Pokemon Battle']","Oh absolutely! If I could go back to 2012 I’d slow down his early development a bit. We’re seeing the struggle right now as he’s in the difficult spot of being too powerful for 99.9% of trainers to beat but isn’t quite ready to take down the best of the best. Finding compelling opponents for him is very difficult, and as a result Ash is generally using his weaker members more and more often to get a bit of a thrill. But if it’s a real fight and he has to bust out Infernus or Torrent there’s very, very few cases where he could reasonably lose. It’s one of the reasons I’ve tried giving him new hobbies and interests outside training. It does give me an excuse to go full steam ahead into worldbuilding, though!

But good question! I guess the way I remedy it when it comes to battles is to have Ash more interested in the fight itself than just winning. We see it with Pryce, for example. Ash wants to help his team grow and chooses teammates that will be tested by the battle instead of just tossing out Infernus. If he wanted to just win he would release his strongest every battle. Instead, Ash wants to grow. In tournaments he’ll always go for the win, but outside of that he sees much more value in a good fight."
363,"When it comes to fleshing out Ash, how do you approach that?","['Ash', 'Delia', 'Lance', 'Pallet Town']","Of course! So basically I worked it in as naturally as I could. In Pallet I figure most of their trainer classes would revolve around survival, practical skills, and science. With history somewhat neglected, I figure Ash’s original interest would mostly be shown through his love of his mom’s stories and myths.

Over time, as Ash learned more about the world and discovered these incredible secrets, that evolved into more of an interest in history as well. I see Ash as someone who has a genuine love of learning - of people, history, science, and learning for the sake of learning...probably something he inherited from Delia. He’s all about growth, and I felt that it would just grow stronger over time as he hears Lance’s stories or discovers treasures like the First’s tomb.

So while him getting hobbies is partly an important tool I use as the focus shifts somewhat away from his growth in battling to his growth as an individual, I also wanted it to reflect a natural growth of Ash’s character. If you look back it’s a development you can trace throughout much of the story until it’s reached its current state. It felt natural instead of suddenly giving Ash an interest in, say, interpretive dance."
364,Does Traveler contain any small insects?,"['Ash', 'Legendary Pokemon', 'Mew', 'Pokemon Biology', 'Wild Pokemon', 'Pokemon Behaviour']","So it’s something I’m hesitant to give actual answers on, but here are my thoughts: bacteria and microorganisms exist 100%. They’re in the best position to survive extreme environments in the Pokémon World. Actual animals do not exist because they’d just be horrifically outcompeted on every front - intelligence, not being able to breathe fire, durability, etc.

One thing I’d like to be clear on is that the original life on the Pokémon World evolved exactly as ours did. It just couldn’t properly survive because of the Legends, and as a result Mew edited in traits to make complex life feasible, which resulted in Pokémon’s impossible attributes over time.

That said, I can imagine tiny insects existing to a point. It’s not something I plan on addressing in-story, but the only organisms I can feasibly imagine surviving the challenges of the Pokémon World are R-type organisms that don’t require many resources to survive, emphasize extremely quick reproductive cycles, and would do the work of pollinating that many Pokémon are just too large and resource-intensive to properly do. One Pokémon can accomplish the work of tens or hundreds of animals in our world, but I figure tiny insects are more suited for things like pollination."
365,On whether Pokemon meat is sold.,"['Slowpoke', 'Pokemon Berry', 'Team Rocket', 'Wild Pokemon']","There is a market for ‘real’ Pokémon meat. Super illegal but you know Team Rocket is in it with things like Slowpoke tails. Messed up rich people have to get their jollies somehow I guess.

But yeah, that’s taken a massive hit with Team Rocket’s near destruction. That’s one market the League is particularly interested in disrupting.

Yep. Back in the day it was a matter of survival. There are berries that provide large amounts of protein, but products from Pokémon were invaluable."
366,Are there pokemon that eat other pokemon much in the wild?,"['Frontier Regions', 'League', 'Pokemon Behaviour', 'Pokemon Biology', 'Wild Pokemon']","Most are primarily satisfied by League feeding stations, but it’s pretty common for hunting to occur, especially in the wild areas with fewer resources from the League. Prey Pokémon are generally accepting of occasional deaths from predators, but if a wild Pokémon is killing for the sake of killing the local populations will band together and kill the offender. There’s a balance there.

Sort of. We don’t see major alterations from domestication, but due to human influence the world’s a much, much nicer and safer place in the core regions. The frontiers are much wilder, and the world remains unchanged in areas outside the human domain."
367,"Given that wild Pokémon are appeased by the various leagues, do Aqua and Magma appease ground and water types respectively in part by promising to expand the land and sea by awakening their gods?","['League', 'Team Aqua', 'Team Magma', 'Wild Pokemon']","Ehhhhh kind of? Magma are extremely human-centric and want to create new land that humans can colonize without having to fight wild Pokémon for it. Aqua are much closer with nature and Pokémon and have close working relationships with the wild Pokémon in the archipelago.

The problem is that local water-types on the shoreline aren’t too happy to lose habitat and tend to sabotage human attempts to expand.

They also don’t quite realize the extent of what they’re waking up haha. Neither Aqua or Magma really have any idea of what they’re doing lol.

But yeah, Aqua aren’t that bad aside from trying to wake up an Eldritch sea god. They do a lot of anti-poacher activity and help protect the archipelago since the League can’t effectively manage its entire territory. They’re largely made up of locals."
368,"I presume they’ve [Team Aqua] got a strong underground PR network and are seen as a more benevolent, covert Greenpeace? [see question 367]","['Team Aqua', 'Team Magma', 'Technology', 'TM']","Pretty much! They’re extremely popular and have no end of recruits. They also tend to be more powerful individually than Magma, although Magma has more resources and more powerful fighters due to heavy use of TMs and other training techniques."
369,On Mewtwo’s willingness to battle.,"['Ash', 'Legendary Battle', 'Mewtwo', 'Unown']","Mewtwo’s still a bit of a bully. He doesn’t like fighting battles he’s not sure he can win, and the Unown were strange enough that he decided to stay out of it haha. Like you said [redacted], can’t blame him. He’s happy to just do his part in keeping Ash alive and letting him do the heavy lifting since Ash keeps ending up in these situations."
370,Could Team Aqua be truly considered a criminal organization? considering they mostly do anti-poaching operations and help protect the archipelago.,"['League', 'Team Aqua', 'Team Magma']","That’s something I’ve mentioned before somewhere in Traveler. They’re into shady stuff, but the League largely tolerates their activity and works with them on occasion. Aqua is tolerated for helping protect the archipelago. Magma is more obviously sketchy but has powerful friends."
371,"If a shiny Metagross reproduces, would the Beldum also be shiny?","['Beldum', 'Metagross', 'Pokemon Biology', 'Shiny Pokemon']","Yep, Shiny Metagross would produce new Shiny Beldum."
372,"If Metagross evolve by first Beldum combining into Metang, and then two metang into metagross, would that not lead to odd combinations if you had a shiny and a normal one? They're different metal compositions, no? Which gets precedence?","['Beldum', 'Evolution', 'Metagross', 'Metang', 'Pokemon Biology', 'Shiny Pokemon']","I can kind of imagine it as them basically pooling their different alloys during evolution, then redistributing it evenly over the Metang or Metagross. This could lead to degrees of shininess depending on how many of Metagross’ component Beldum were born shiny."
373,Were all fossil pokemon rock types pre-fossilization?,"['Aerodactyl', 'Fossil Pokemon', 'Lance', 'Rock type']","It’s more of a trend than anything. Pokémon from those eras tend to be more primal, like Lance’s Aerodactyl. It’s not a hard rule, however, and they do have personalities beyond that.

Huh, good question. I think many were rock-types, but others simply have the rock-type built into them as a way of making them tougher and more robust. Helps a lot in the modern world."
374,On Elf’s opinion about future Regions and their Pokemon.,"['Ash', 'Region', 'Meta']","Ha, I figure I can at least have them exist. Not sure if Ash will end up visiting them all except briefly, but I want to keep the world growing!"
375,On leftover space for future Regions in the Traveler World Map.,"['Location', 'Region', 'Southern Continent', 'World Map', 'Meta']",I tried to leave myself some safe space by creating several blank land masses for the map lol. Some I have plans for but others (plus the entire undiscovered part of the Southern Continent) are just there to slap the new regions onto.
376,Would Ash getting a Fairy Type have some meaning or help him grow as Pokemon Trainer?,"['Ash', 'Fairy type', 'Pokemon Battle', 'Pokemon Trainer']","Yep, it would definitely provide some growth and new tactical choices."
377,"Does Magic, the one that turned Ash into Ashachu, exist in the Traveller verse?","['Aura', 'Legendary Pokemon', 'Mewtwo']","Hmm, not really. The closest you could get is Aura which has an essentially unlimited versatility, but which is entirely dependent on the individual. Then again, once you get to the Legendary psychics like Mewtwo they can essentially do whatever they want, so that might as well count as magic."
378,I swear if I remember right didn't a Lugia get turned Into Shadow Pokemon XD001 right?,"['Legendary Pokemon', 'Lugia', 'XD001']","For the earlier discussion, I’ll just say and confirm that XD001 was not Lugia but maintained the same level of power we saw in the game - pulling the cruise ship from the ocean and dumping it in the desert happened, for example."
379,On Cipher.,['Cipher'],"Yep, Cipher solves the biggest problem in war: having soldiers willing to kill. Most Pokémon aren’t willing to mercilessly slaughter or follow ruthless orders without a good cause, especially without a real connection with their trainer. Cipher created fighting machines and used them to great effect."
380,"Do Mismagius within Traveler also subsist off of fear in a similar way to Dazed with dreams? If so, would Mismagius literally just attack with Confuse Ray against potential prey in order to feed?","['Confuse Ray', 'Dazed', 'Ghost type', 'Karen', 'Mismagius', 'SPECTRE Corps']","Yep! They feed off emotions. We’ll get to learn a bit more next chapter! But I have it as most ghosts being able to feed off emotions in general, but it’s a hundred times easier to jump out and scare a victim to feed than it is to make them happy and feed off that. But yes, Mismagius might use weak techniques to enhance their victim’s fear, but most try to be delicate. Going full out on squishy humans is a good way to get Karen and her SPECTERs on their trail.

Mismagius would probably open up with a Confuse Ray or other debilitating technique to make sure more dangerous prey couldn’t pose a threat."
381,I’m kind of curious if Mismagius would need to migrate from town to town in order to prevent desensitisation from starving them?,"['Mismagius', 'Ghost type', 'Pokemon Behaviour']","Yep! In rural areas or small towns it’s pretty common for Mismagius and other ghosts to need to move around frequently. In larger towns there’s enough prey that they don’t have to worry about it, but they do have to take a little less from each victim so it doesn’t turn into a big enough issue to attract attention."
382,"Would Mewtwo actually live for Millenia, or potentially even tens of thousands of years?","['Age', 'Legendary Pokemon', 'Mewtwo', 'Team Rocket', 'Psychic type']","Naturally, I think Mewtwo would have either a human or slightly shorter life span since Team Rocket’s genetic engineering was so cutting edge - they hadn’t had time to really perfect it.

His psychic powers render his ‘natural’ life span irrelevant, however. He essentially has total mastery over the physical world, including his own biology. Extending his life is less than child’s play for him - he doesn’t even really have to think about it."
383,What would you say is your favorite created technique?,"['Mind Breaker', 'Pokemon Battle', 'Rampage', 'Sneasel', 'Pokemon Moves']","Hmm my favorite one that I’ve shown so far is probably Rampage! My real favorite hasn’t been revealed yet.

Mind Breaker is going to be a ton of fun once Sneasel has a bit more experience! I have techniques planned out for each member of the team that should be really cool!"
384,On Suicune’s strength.,"['Ash', 'Entei', 'Legendary Beasts', 'Legendary Pokemon', 'Pokemon Battle', 'Raikou', 'Suicune']","Suicune just embodies a different concept than Entei or Raikou but they’re all the same level of strength.

In a real fight, I’d prefer Raikou or Entei on my side honestly. Suicune’s incredibly effective but it wouldn’t be truly invested in any battle (unless you have Ash around to link with it)."
385,"If a Concept like Suicune embodies is irrevocably changed, what happens?","['Concept', 'Legendary Beasts', 'Legendary Pokemon', 'Suicune']","Hmm interesting question! I don’t think they can be irrevocably changed. You can see it nudged in a certain direction or diluted by another Concept temporarily, but I think it would always return to its baseline given time."
386,"So Suicune just was concerned about accidental collateral damage, then, and temporarily altering its concept? [see question 385]","['Ash', 'Concept', 'Legendary Beasts', 'Legendary Pokemon', 'Suicune']","Yep, and more than anything concerned about irrevocably damaging Ash. He’s not as easy to change as most humans, but he’s still pretty squishy at this point."
387,"How aware are the other Leagues about Ash's involvement in the Legendaries event? I imagine the National League knows a lot, but how about Unova and Kalos'?","['Ash', 'Kalos', 'Lance', 'League', 'Legendary Pokemon', 'National League', 'Unova']","National League is fully aware. They’re privy to every bit of information Ash has told Lance and the League. The National League has ensured the other Leagues are aware of the threat and provided a huge amount of scientific data supporting their claims, but leave Ash out of it as much as possible."
388,Does anyone know how old Ash was at the Conference Finals?,"['Age', 'Ash', 'Conference', 'Hoenn', 'Indigo', 'Vermillion City']","He turned eleven in Chapter 3 on the way to Vermillion I believe. He turned 12 in Chapter 32, I think. Right before he went to Hoenn."
389,The Sinnohoans go by a different calendar?,"['Alfa Dynasty', 'Alola', 'Galar', 'Kalos', 'National League', 'Orre', 'Sinnoh', 'Unova', 'Meta']","Sinnoans had their own calendar based on the beginning of the Alfa dynasty, but it’s fallen out of use. Pretty much the whole world has adapted to PIL as a result of the National League being such a monolithic entity.

Kalos and Galar had their own calendar traditions, Unova developed in relative isolation and has its own. New colonized regions like Orre and Alola began with PIL out of practicality."
390,On a future Bruiser v. Snorlax rematch.,"['Bruiser', 'Pokemon Battle', 'Rampage', 'Snorlax']","Rampage!Bruiser in a rematch against Snorlax would be really, really cool. Snorlax would be able to survive multiple hits pretty easily, but Bruiser would also be in the situation of completely outclassing Snorlax in maneuverability. Plus Bruiser’s still in the situation where he doesn’t get superior anchoring or anything - hits from Snorlax would send him flying."
391,How replicable is Air Lens?,"['Air Lens', 'Fire type', 'Jonathan', 'Magcargo', 'Magmar']","Air Lens is a fairly simple technique for certain species like Magmar and Magcargo, but extremely draining for other fire-types. They can learn it but it can be best used in short bursts instead of sustained.

I envision Air Lens as something that was difficult to discover, but easy to reproduce if that makes any sense.

Air Lens is also a fairly recent development if I remember right, generally taught by specialists to their apprentices (or people like Jonathan) who are usually pretty leery of teaching it to other trainers. It’s not unheard of, but it’s difficult to learn by yourself."
392,How strong Bruiser really is?,"['Bruiser', 'Fighting type']",I don’t honestly have the expertise to give exact numbers! What I will say is that Bruiser is to the point where increases in raw strength don’t actually matter much in battle - his raw strength is so much above other fighting-types that it doesn’t matter what he’s facing other than another super strong Pokémon. At this point his biggest issues are anchoring and getting leverage to actually use his ridiculous strength to its full potential.
393,"When he [Bruiser] uses Rock Tomb, would he use that to give himself better leverage and to unbalance his opponents? If fighting another super strong Pokémon? [see question 392]","['Bruiser', 'Pokemon Battle', 'Protect', 'Rock Tomb', 'Pokemon Moves']","Yep, Rock Tomb will be great for bracing himself and keeping him in a fight. Protect as well."
394,On Oz’s stamina as an Electivire.,"['Evolution', 'Infernus', 'Oz']","Oz will have better stamina once she evolves, but Infernus is just a natural stamina freak...partly because he throws 100% into every battle. She can improve, but I don’t think she’ll ever quite match him on that front.

She still has a lot of development to go through!"
395,On the effect of Rampage on Bruiser’s growth.,"['Bruiser', 'Evolution', 'Rampage']",Rampage basically counted as an evolution for him haha. It compensated for so many of his weaknesses.
396,"How does the energy used by Dragons work, is it produced in an organ like Dark types have for Distortion?","['Dark type', 'Distortion', 'Dragon type', 'Pokemon Biology']","Good question! So, I have some thoughts on draconic energy but I’m still working on some aspects. I won’t go into detail yet but I will give you some tentative basics.

It comes from both within and without. Dragon’s are by their very nature powerful. Their bodies are strong and tough, their natural abilities superior to most other Pokémon. This dominance and power is intrinsic to their nature, and it’s something that they can express into the world in the form of draconic energy.

The without comes from the fact that draconic energy is latent throughout the universe. Truly skilled dragons are able to use that power to fuel their own abilities.

I won’t go into more detail than that for now, but I hope it answered your question!"
